Model,AIC,N_predictors,Delta_AIC,Rank
Univariate: distance_over_27,399.16550936701714,1,0,1
Univariate: distance_over_21,399.3338653089583,1,0.1683559419411722,2
Univariate: distance_over_24,399.7852904354642,1,0.6197810684470824,3
Multivariate: Top 3 Metrics,400.7015963081293,3,1.5360869411121598,4
Multivariate: High-Intensity,400.9670053078194,4,1.8014959408022833,5
Multivariate: Theory-Driven,402.66927624192397,3,3.5037668749068303,6
Multivariate: Comprehensive,405.52880580366264,5,6.3632964366454985,7
